iter	Passed	Remaining
0	0	95
1	1	88
2	2	82
3	3	75
4	3	74
5	4	72
6	5	71
7	6	70
8	6	70
9	8	74
10	8	72
11	9	71
12	10	69
13	11	68
14	11	67
15	12	66
16	13	65
17	14	64
18	14	63
19	15	62
20	16	61
21	17	60
22	17	59
23	18	58
24	19	57
25	20	56
26	20	56
27	21	55
28	22	54
29	23	54
30	24	53
31	24	52
32	25	52
33	26	51
34	27	50
35	28	49
36	28	48
37	29	48
38	30	47
39	30	46
40	31	45
41	32	44
42	32	43
43	33	42
44	34	41
45	34	41
46	35	40
47	36	39
48	37	39
49	38	38
50	39	37
51	39	36
52	40	35
53	41	35
54	41	34
55	42	33
56	43	32
57	43	31
58	44	31
59	45	30
60	46	29
61	46	28
62	47	28
63	48	27
64	49	26
65	49	25
66	50	24
67	51	24
68	52	23
69	52	22
70	53	21
71	54	21
72	55	20
73	55	19
74	56	18
75	57	18
76	58	17
77	58	16
78	59	15
79	60	15
80	61	14
81	61	13
82	62	12
83	63	12
84	64	11
85	64	10
86	65	9
87	66	9
88	66	8
89	67	7
90	68	6
91	69	6
92	70	5
93	70	4
94	71	3
95	72	3
96	72	2
97	73	1
98	74	0
99	75	0
